Date,Random_Number,Category,Text,Trend_Variable
2021-05-05,904.9453309383593,E,Amet,39
2021-03-03,812.9298711133049,C,Amet,93
2020-10-08,387.2681544418494,A,Ipsum,-82
2020-05-15,327.8530821796626,C,Sit,-5
2020-11-15,567.9725259785828,C,Amet,17
2020-02-02,218.2106019986282,C,Dolor,-21
2021-09-17,836.4295295891571,C,Lorem,32
2022-05-29,273.2247308202644,A,Dolor,78
2020-06-27,244.61842569319148,E,Sit,-75
2022-06-14,451.2281865566524,D,Amet,96
2020-12-20,384.52110200932134,E,Amet,61
2020-03-18,201.7948720774414,E,Dolor,-11
2020-01-30,936.1155644380362,E,Lorem,91
2021-11-18,727.8878267382224,E,Dolor,-3
2022-08-12,383.1800860991366,C,Lorem,45
2021-12-13,598.1917809447118,B,Ipsum,77
2021-02-27,882.3182068435333,A,Sit,40
2022-02-01,363.6462212715073,E,Ipsum,69
2021-08-27,666.3603482898063,D,Amet,-54
2022-07-01,503.9249428145538,A,Sit,77
2022-07-14,948.0121485665741,C,Amet,29
2021-06-18,725.4645735385675,E,Ipsum,20
2020-07-28,816.6500431657064,B,Ipsum,6
2021-06-01,970.4877561320825,D,Lorem,34
2020-08-28,616.5085245916634,A,Dolor,70
2020-11-05,443.94319233547617,B,Ipsum,82
2022-09-08,498.234725125417,E,Amet,-14
2021-11-14,730.8776727041414,E,Dolor,-67
2022-02-25,85.09371293096402,D,Dolor,87
2020-08-01,693.2170264638338,D,Lorem,39
2021-09-01,343.1030990067798,E,Sit,64
2022-03-01,797.490295024999,E,Lorem,-9
2020-09-14,789.0389909658057,D,Dolor,67
2021-05-28,444.8822783944313,D,Amet,74
2021-02-25,468.800869694586,B,Sit,100
2020-12-27,548.2513382001595,D,Sit,-95
2020-06-12,672.2444001707527,D,Dolor,12
2022-09-21,70.50525575461542,A,Sit,60
2020-06-29,958.3232705583496,C,Dolor,78
2020-10-25,925.4714417583276,C,Dolor,52
2021-07-02,595.4239868496102,B,Lorem,-91
2021-04-02,293.44278025055024,D,Dolor,-82
2021-12-14,367.4924274058219,C,Lorem,51
2022-04-04,132.77107211510875,B,Sit,40
2022-09-19,245.2049402210984,B,Sit,43
2020-12-26,942.8369900604858,E,Ipsum,-89
2020-06-13,471.5606343309059,D,Lorem,-69
2021-03-21,376.10237460395433,A,Lorem,63
2022-06-12,924.3983865462886,A,Sit,-53
2021-07-17,776.8012941361432,A,Lorem,40
2021-09-14,898.0561669007626,B,Sit,29
2022-08-15,617.7393787460437,A,Amet,56
2022-08-02,726.0827001632275,C,Amet,91
2021-04-28,614.0338108056959,B,Lorem,88
2021-09-11,628.2620800423041,D,Dolor,-84
2021-07-12,585.9013860159739,B,Lorem,-14
2020-02-05,106.75400229771948,B,Lorem,-6
2020-06-20,198.05486463702738,B,Amet,89
2020-08-28,81.56381832469827,D,Amet,23
2022-08-13,256.58094123166074,B,Dolor,-17
2020-01-09,703.091248339226,E,Dolor,-16
2021-09-18,16.25010219247813,D,Ipsum,51
2020-11-04,625.7729595802742,C,Lorem,-39
2020-03-02,424.0405524682016,A,Amet,-100
2022-07-19,692.8034728581242,C,Amet,-87
2021-04-15,500.63378775135857,E,Ipsum,-22
2020-05-13,814.8914497334856,B,Dolor,22
2021-11-08,422.13364396480125,A,Amet,-60
2021-08-18,712.443348046197,E,Lorem,6
2021-04-23,508.7038802065242,A,Sit,-17
2022-08-04,983.9928141441379,C,Ipsum,-16
2021-06-27,22.566186362514063,B,Dolor,39
2022-09-25,888.6191326518787,C,Dolor,-18
2022-06-01,981.0089779785966,E,Lorem,44
2020-06-14,131.2950281703792,C,Sit,18
2020-11-20,304.45476274148353,E,Amet,20
2021-06-09,435.0956519200513,A,Dolor,-38
2020-02-14,50.12833048974774,A,Lorem,28
2022-01-02,584.1743520316039,A,Sit,-50
2022-03-25,705.9354257771263,C,Lorem,-19
2021-11-13,833.7286529580241,B,Amet,-21
2022-08-07,644.4136003313829,E,Lorem,-58
2022-07-23,944.9714561661832,D,Amet,-32
2020-05-28,369.2701396070813,D,Lorem,80
2021-09-29,372.38225449166293,A,Ipsum,-89
2022-03-31,202.34712849061597,A,Lorem,19
2021-11-14,695.1476035712193,D,Sit,-1
2022-05-06,573.1681814499832,D,Amet,-64
2022-05-08,659.5802946632773,A,Amet,-30
2021-01-13,484.90052420015286,B,Lorem,95
2022-08-13,56.62815953721201,A,Amet,32
2022-08-22,782.0143193591714,C,Lorem,-34
2020-05-09,194.49115002787508,B,Dolor,-60
2020-05-06,869.3149969955389,A,Amet,87
2020-09-27,249.01498999340365,A,Sit,99
2021-05-17,398.011172101607,E,Sit,-100
2020-03-19,640.338326307238,B,Amet,-49
2020-09-17,532.6833383072286,E,Ipsum,27
2020-04-30,857.2659459869374,B,Amet,-66
2022-06-24,83.03223718498532,D,Ipsum,-5
2021-08-17,188.89861161731204,A,Ipsum,-20
2022-05-15,535.5835084081883,B,Amet,62
2020-07-04,83.63715412011219,C,Sit,61
2020-09-12,357.90399640083604,B,Ipsum,94
2021-04-23,995.9857720448175,D,Dolor,-73
2022-07-17,960.0826000714079,D,Amet,-67
2021-09-22,273.6891816957894,A,Ipsum,-54
2021-09-08,614.7128182584004,E,Lorem,-20
2021-09-17,252.29311807747433,E,Sit,83
2021-04-23,274.1613692910752,B,Sit,7
2020-01-13,630.9335765069453,B,Dolor,14
2020-07-26,682.1021205471094,C,Sit,-95
2020-04-12,964.8192996719948,A,Amet,99
2020-10-08,94.9294729181731,D,Amet,22
2022-09-19,782.1115046293994,D,Sit,61
2020-10-28,393.77462220583413,C,Sit,-11
2020-10-23,561.2859897055562,E,Sit,-7
2021-02-06,99.66348510114275,A,Dolor,-64
2020-01-11,774.4952221321513,B,Lorem,-35
2020-10-13,482.12475167087155,B,Sit,12
2022-05-07,126.25655713448569,A,Amet,-69
2020-11-24,655.1068718701723,C,Ipsum,-23
2020-11-22,470.3593644243129,B,Amet,13
2021-08-05,658.0790393246228,E,Ipsum,77
2022-05-15,553.5736580349784,C,Ipsum,-99
2020-07-13,991.0623791047761,B,Ipsum,-86
2021-03-31,849.6960810845054,B,Lorem,-32
2021-10-14,224.3174987861718,B,Sit,69
2021-10-03,576.4452079038148,C,Sit,-62
2022-08-28,704.701007385036,B,Dolor,19
2020-10-23,584.5680995176476,E,Dolor,-31
2022-09-03,660.160118722003,E,Amet,40
2021-10-10,336.00509029154347,A,Lorem,84
2021-01-31,604.9051815855229,D,Lorem,60
2022-09-14,63.49111007735087,C,Lorem,-53
2021-06-01,754.0050316487917,A,Amet,-5
2021-09-18,200.71911482436656,A,Ipsum,-2
2020-05-07,447.67967757403926,E,Sit,-47
2020-11-08,516.2742337869736,D,Ipsum,-27
2022-04-17,441.4286306526532,C,Ipsum,-60
2022-01-09,963.332257839455,E,Dolor,-58
2020-03-24,177.65399877499377,C,Dolor,67
2022-03-03,761.6089040080207,E,Lorem,-78
2022-05-21,528.7436699075438,E,Sit,99
2020-03-22,37.446384644255204,D,Ipsum,75
2022-07-01,514.8257239463875,C,Ipsum,36
2020-02-15,775.99884861656,A,Sit,38
2020-09-23,131.37702635685866,A,Amet,-29
2021-08-02,319.44888044263865,A,Sit,-20
2020-06-28,862.581915989705,D,Amet,-1
2020-03-29,542.3660003621733,D,Amet,-51
2021-02-23,952.7522827103179,A,Lorem,-51
2020-04-20,794.2679947398906,B,Ipsum,-36
2021-10-23,71.12136527789336,A,Ipsum,-40
2021-05-30,579.854345223072,A,Lorem,-98
2022-09-11,32.626360111995155,E,Ipsum,-2
2022-08-25,995.2136533549781,C,Lorem,100
2020-02-16,558.9097466720293,C,Dolor,-36
2021-11-28,832.2659908232473,D,Amet,-17
2021-08-21,325.1709438710281,D,Amet,39
2022-04-06,403.1439697840078,A,Amet,-3
2022-08-13,540.6846659819622,A,Amet,-56
2021-08-23,963.9056340633357,A,Lorem,0
2022-09-01,953.4584837282861,E,Sit,28
2022-08-05,381.5585868869682,A,Amet,-98
2020-06-29,646.8185646937619,A,Sit,-1
2020-04-24,16.024910841080487,C,Sit,-9
2020-10-13,463.6949213646194,E,Dolor,52
2020-08-03,934.8625562412612,E,Ipsum,75
2020-10-27,554.9933419727641,E,Sit,-74
2022-03-31,357.5580613819807,A,Dolor,33
2020-02-04,305.5500018625543,B,Amet,28
2021-09-26,456.36613320043386,D,Ipsum,-51
2021-07-29,378.825649149204,E,Lorem,78
2021-11-04,226.23169182670878,E,Dolor,69
2020-02-27,949.4786766612838,E,Amet,-17
2022-04-21,893.1780323594436,E,Lorem,-88
2021-03-25,431.5406035312673,D,Dolor,-59
2021-02-07,493.67659097968277,B,Lorem,88
2021-12-16,161.58835224202716,D,Ipsum,-76
2020-11-10,391.0201160019431,C,Lorem,66
2020-03-09,629.0852679399038,E,Sit,40
2021-09-10,275.3620644162902,D,Sit,-87
2022-01-08,304.1854117869397,A,Dolor,-23
2020-02-28,360.15244766714585,D,Amet,-59
2020-08-29,315.7693671688412,A,Ipsum,88
2022-04-07,675.9250732309007,B,Lorem,96
2020-08-07,603.8010157792792,B,Ipsum,-33
2021-03-02,27.59606369225387,B,Ipsum,-16
2022-05-11,408.2062223145404,D,Lorem,3
2021-11-04,816.1330452931778,C,Lorem,94
2022-07-27,416.2015275569403,D,Dolor,-83
2020-09-11,975.4376869970159,B,Dolor,-50
2021-05-20,716.0169994704435,A,Dolor,74
2022-06-29,844.8116782091315,D,Lorem,-95
2020-11-23,663.3539012676273,E,Sit,-88
2021-08-10,931.2123856533822,A,Dolor,76
2022-04-21,836.6636681060486,C,Amet,-25
2021-03-19,460.4475297053474,A,Amet,-6
2021-05-03,813.1874826810164,B,Ipsum,-62
2020-01-28,443.28618326551594,A,Sit,68
2020-11-12,109.5117967958027,A,Dolor,26
2022-01-26,109.12485712368903,B,Sit,-65
2021-05-22,358.4315129191921,B,Ipsum,-46
2020-10-05,180.86068866680617,B,Lorem,41
2021-04-29,281.92964950901234,A,Amet,41
2022-04-14,589.9869931315953,B,Lorem,-65
2020-06-07,513.9926956532748,E,Ipsum,-29
2021-06-06,293.85004498897547,A,Sit,-69
2022-08-19,339.78268993052893,D,Lorem,-18
2020-01-15,431.8144322002222,E,Sit,-82
2022-06-08,346.6728126223061,D,Ipsum,-17
2022-04-13,541.617467046772,D,Ipsum,-45
2021-12-15,409.0941638675034,C,Amet,49
2020-02-04,673.9063231326849,A,Dolor,-36
2021-10-23,770.9868112695447,A,Lorem,-49
2020-08-24,965.6367133052157,D,Sit,-62
2021-01-28,642.5622915408981,C,Lorem,-81
2021-09-15,588.7945059742525,D,Sit,-76
2020-08-04,180.62753354141637,B,Sit,63
2021-08-26,740.6595244427425,D,Amet,59
2021-02-16,554.5360274034603,B,Amet,-46
2021-06-23,203.10927106024533,C,Amet,94
2022-09-03,422.3672563626286,E,Dolor,-57
2021-02-28,648.9687190348761,C,Amet,64
2020-05-05,462.64899569488716,D,Dolor,89
2020-05-31,761.1722795497442,E,Amet,-4
2022-02-15,129.08467520051514,D,Amet,10
2020-04-11,501.5297439264972,D,Dolor,62
2020-12-24,927.9312163272944,B,Dolor,46
2021-08-25,41.75537861906964,E,Dolor,-71
2020-03-18,553.4552116904401,C,Lorem,2
2021-09-09,297.23969674051085,C,Lorem,59
2022-04-30,551.6407627174934,E,Ipsum,-12
2020-05-13,87.964228489968,A,Lorem,-21
2021-07-01,970.2212717584688,B,Sit,45
2021-02-23,937.24271220973,C,Amet,23
2022-03-16,916.4909541068683,D,Dolor,-49
2021-04-19,452.5168598852136,D,Amet,38
2020-03-04,340.5728483285697,D,Lorem,-29
2021-02-14,387.3403192243391,C,Amet,-59
2022-08-23,221.51027832860493,E,Sit,-63
2022-09-24,880.6867249735681,B,Lorem,71
2021-11-22,314.23872889995664,E,Sit,-87
2021-09-01,679.5802557671866,B,Dolor,63
2021-01-02,263.805110510707,B,Amet,82
2020-03-24,288.3130961532044,C,Amet,77
2021-09-29,162.84694337942219,A,Dolor,-75
2022-09-27,96.51998290488662,C,Sit,59
2022-02-16,400.784978581547,A,Ipsum,-81
2020-12-11,664.827772588601,A,Ipsum,-76
2022-06-03,566.6154094883506,D,Lorem,-80
2022-04-06,134.85000830358229,A,Ipsum,-70
2021-03-01,979.5312307539181,E,Sit,93
2022-02-09,999.0909699920603,C,Lorem,44
2021-11-02,261.69872744011144,D,Lorem,30
2021-05-05,536.3939755112417,D,Sit,-3
2021-08-30,709.2730176571891,B,Lorem,-59
2022-05-20,293.0011980086857,E,Lorem,-49
2020-10-25,161.90056831705047,A,Ipsum,80
2021-10-19,603.2096343225032,A,Lorem,-100
2020-01-03,249.5010952553359,A,Dolor,-74
2021-05-13,887.8018320782295,E,Ipsum,44
2020-04-08,896.0705500456447,B,Ipsum,-66
2021-08-22,496.5406545193748,B,Dolor,76
2020-06-26,407.3482405303157,C,Sit,-88
2020-08-03,232.86374915613573,A,Dolor,52
2020-01-05,750.3014835856388,D,Sit,-81
2022-06-18,518.205243273651,E,Ipsum,-57
2021-07-30,712.0663129489087,E,Dolor,-61
2022-05-09,273.8302332035553,B,Sit,-82
2020-07-06,823.4544483724916,D,Ipsum,41
2022-06-18,772.4872622543959,C,Sit,-79
2021-10-04,767.4634216268176,E,Amet,-100
2020-06-18,962.464794173592,C,Amet,96
2020-11-14,63.50813451693904,E,Ipsum,17
2022-05-19,291.4155372044153,A,Sit,43
2021-01-17,296.4259508210776,D,Amet,89
2021-10-23,982.4106573791815,B,Amet,51
2020-07-10,890.7104805830093,E,Lorem,-40
2020-06-18,517.7984242444606,B,Dolor,35
2020-01-01,292.50348395870583,E,Sit,33
2021-06-07,304.8854217855368,D,Ipsum,14
2022-09-01,127.24742063248596,D,Sit,100
2022-03-26,783.6294388850264,C,Sit,45
2020-02-18,964.2119631903714,B,Sit,13
2020-10-20,696.1322516965737,B,Lorem,-32
2020-02-14,44.74485370440251,D,Amet,4
2020-11-13,747.7872050119724,B,Sit,27
2021-11-29,67.923060146723,C,Ipsum,42
2021-01-10,328.3589075759745,E,Ipsum,69
2021-06-09,504.63922960974514,B,Amet,33
2021-06-18,530.529084139543,E,Dolor,-86
2020-06-25,665.6369088085708,C,Sit,65
2020-04-06,586.8607174908759,B,Ipsum,76
2022-04-22,472.5950431929892,A,Dolor,92
2021-05-02,965.5589878494283,B,Sit,-17
2020-05-22,622.2597662952702,B,Ipsum,-90
2022-06-10,444.69538122727516,E,Lorem,22
2022-04-12,444.36205825624006,E,Sit,-5
2021-09-04,270.4390419256769,C,Amet,75
2021-09-11,664.1357093017529,E,Dolor,77
2020-04-20,110.62943774874567,C,Sit,-95
2020-12-29,550.5083217641013,E,Dolor,-49
2022-06-01,563.3303655355509,E,Sit,-13
2021-03-24,907.7206048675363,C,Sit,-57
2020-03-02,844.4378418463094,A,Ipsum,30
2022-07-07,276.4235325642408,E,Sit,-43
2020-02-08,962.3559909140289,A,Sit,-46
2020-09-14,261.9770003822561,B,Amet,-61
2021-03-16,265.4870433322547,B,Sit,-73
2021-12-24,580.0133008002258,C,Lorem,62
2021-03-12,338.485517811159,C,Amet,23
2021-09-23,178.01629789312634,D,Amet,34
2020-08-16,644.7981718955123,B,Sit,51
2020-07-26,717.3441616466,A,Amet,27
2022-04-22,861.9065759174715,E,Lorem,-20
2021-11-07,120.8616175084054,B,Ipsum,3
2020-04-08,115.66822402466714,C,Dolor,47
2021-10-21,301.28717534850125,B,Dolor,84
2021-03-08,458.7354885367662,A,Dolor,68
2021-01-31,357.3731300734008,B,Dolor,60
2020-08-01,37.47745917518242,A,Lorem,99
2020-06-11,274.1111703558583,E,Lorem,-47
2022-09-09,946.2499393208493,E,Amet,50
2022-01-18,652.0180049687075,D,Ipsum,72
2020-06-11,654.5044071572746,B,Lorem,39
2021-04-17,393.6974998920998,D,Amet,37
2021-09-27,137.37254158819124,A,Amet,11
2021-11-05,227.13252327861989,A,Dolor,-25
2022-09-13,517.1760821985243,B,Ipsum,-80
2020-10-02,162.51508561692697,A,Dolor,-93
2021-06-02,611.9211465818345,B,Dolor,-76
2020-05-03,908.675390641845,E,Sit,-46
2020-07-04,979.530078671884,A,Amet,50
2020-11-23,792.1619650419726,C,Ipsum,-35
2022-03-24,437.0981024124826,D,Ipsum,-24
2020-01-22,999.7404725244504,D,Sit,84
2022-06-02,442.7585178718214,D,Ipsum,70
2020-03-10,409.8098967435203,D,Ipsum,-87
2020-06-24,374.51626619244706,C,Dolor,-26
2020-07-13,287.69923964095767,A,Dolor,77
2022-01-25,441.3729666750108,C,Ipsum,1
2022-06-16,275.11450168383453,D,Lorem,100
2022-09-26,327.0673540311944,E,Amet,-94
2021-02-12,321.9696072859889,C,Dolor,99
2020-03-14,785.0486307060179,E,Sit,59
2020-01-30,202.33649398264842,C,Ipsum,65
2022-06-03,717.5854102194635,E,Amet,-57
2021-06-24,308.7092772808857,D,Dolor,-97
2021-04-07,60.18087662201499,D,Sit,-62
2022-02-14,600.6515181517826,D,Lorem,-100
2022-08-01,770.5450602959154,C,Ipsum,-62
2020-02-17,448.0111077020235,E,Lorem,-35
2021-10-01,427.4517212590825,B,Ipsum,-83
2021-05-06,65.38969237861092,A,Sit,26
2022-08-07,164.30187903188042,A,Amet,53
2022-05-16,725.7867480434336,A,Dolor,-100
2020-08-27,945.5988697424048,E,Lorem,-28
2020-06-22,485.51590635537787,C,Amet,15
2022-06-10,836.1129085114878,E,Ipsum,87
2022-08-01,236.03819053252394,E,Ipsum,-28
2021-04-10,831.1791332559462,A,Sit,10
2020-01-02,68.713532098858,D,Dolor,-49
2022-02-04,880.412851648678,C,Lorem,-31
2022-02-12,622.1153758894745,B,Dolor,-94
2021-06-03,299.55915029471413,E,Ipsum,-9
2020-12-02,862.8821990271701,E,Ipsum,86
2020-04-01,149.35255021572746,E,Lorem,22
2021-05-03,669.9197011989311,D,Ipsum,-10
2020-07-17,866.8531035353602,A,Dolor,82
2021-04-08,510.45292156510027,A,Ipsum,-71
2020-04-13,482.20085527776257,C,Ipsum,-35
2020-08-09,884.0131310762226,A,Sit,49
2020-01-31,577.6609519413473,D,Ipsum,-92
2021-04-13,697.2261087166981,A,Dolor,-84
2021-01-02,462.6501051153822,C,Sit,-72
2022-05-24,67.84085781737559,B,Ipsum,4
2022-08-03,377.31250371813576,D,Ipsum,16
2020-09-16,261.64333205447133,E,Lorem,63
2021-08-20,362.99370347646,E,Lorem,-70
2021-01-13,919.9394513531638,E,Dolor,13
2021-01-10,292.28982790047786,E,Lorem,92
2020-12-02,364.3552429958422,D,Amet,80
2020-12-20,591.1480538648365,E,Dolor,-84
2021-01-31,924.3926342447478,C,Lorem,-35
2022-09-22,947.2469317422018,E,Amet,34
2021-07-07,407.28565091304336,A,Ipsum,-9
2022-03-22,279.5498406960295,E,Amet,95
2022-04-28,60.56462849263833,D,Dolor,31
2020-08-16,337.89141130567236,D,Lorem,-48
2021-06-15,841.1413879038948,C,Amet,-3
2021-10-21,234.4699387974154,C,Dolor,-48
2022-05-19,946.9439966429899,E,Lorem,85
2020-08-30,676.0686319090652,B,Sit,-70
2020-04-12,836.1166909209448,D,Lorem,63
2022-04-09,675.9380878211836,E,Dolor,-47
2022-02-05,46.84222001378924,C,Sit,100
2022-03-29,324.43587297029507,A,Ipsum,79
2020-03-08,408.9637195124173,D,Dolor,-52
2022-01-01,710.8457368397001,E,Amet,88
2021-03-24,570.1680258291088,E,Sit,-60
2021-02-16,601.9840311939533,C,Sit,9
2022-01-22,72.01667572772341,A,Amet,-13
2021-03-19,5.606576768607763,A,Lorem,16
2020-11-21,493.6428228264741,A,Lorem,29
2022-04-24,824.2555152018932,B,Amet,48
2022-02-01,98.83393779162786,B,Ipsum,77
2021-08-22,196.8070655321047,D,Lorem,-91
2021-06-02,132.5267623091898,D,Dolor,-3
2021-09-09,323.385972509858,E,Amet,3
2021-08-17,22.9420676310631,B,Ipsum,19
2020-07-27,915.9562545455652,A,Sit,-92
2022-06-11,806.7234762711879,B,Dolor,-17
2022-04-17,808.7845246578206,E,Amet,-88
2020-12-26,856.791448675281,B,Ipsum,54
2021-12-22,388.30262868635424,E,Ipsum,-94
2021-07-19,838.1365887317763,E,Dolor,-68
2022-08-25,531.9933415780434,E,Dolor,29
2020-07-23,321.55554419535616,A,Ipsum,-64
2022-05-23,177.6119253161641,A,Dolor,-68
2021-12-05,422.06310469347187,C,Sit,-59
2020-02-15,876.9640773452994,D,Ipsum,-43
2020-02-11,779.9084232154365,C,Lorem,64
2020-03-28,330.4353595627526,D,Dolor,94
2021-09-11,319.61608134538477,C,Amet,95
2020-11-17,910.9198268590313,D,Sit,13
2020-07-01,876.9133878083857,E,Ipsum,10
2021-09-23,318.5426698201711,E,Dolor,-96
2022-05-13,925.7694847209385,D,Dolor,95
2021-05-06,625.1462913820542,E,Sit,-24
